raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation,driver_wins_cum,driver_races_cum,driver_win_rate,position_numeric,driver_recent_form,constructor_wins_cum,constructor_races_cum,constructor_win_rate,constructor_recent_points,location_id,constructor_id_enc,driver_id_enc,regulation_change
2023_5,2023,5,gasly,Alpine,5.0,8.0,4.0,Finished,0,Miami Grand Prix,Miami,GAS,0,3,0.0,8.0,10.333333333333334,0,6,0.0,0.6666666666666666,9,2,7,0
2023_5,2023,5,ocon,Alpine,8.0,9.0,2.0,Finished,0,Miami Grand Prix,Miami,OCO,0,3,0.0,9.0,13.333333333333334,0,7,0.0,1.3333333333333333,9,2,15,0
2023_5,2023,5,kevin_magnussen,Haas F1 Team,4.0,10.0,1.0,Finished,0,Miami Grand Prix,Miami,MAG,0,3,0.0,10.0,13.333333333333334,0,6,0.0,2.0,9,5,10,0
2023_5,2023,5,tsunoda,AlphaTauri,17.0,11.0,0.0,Finished,0,Miami Grand Prix,Miami,TSU,0,3,0.0,11.0,10.666666666666666,0,6,0.0,0.3333333333333333,9,1,23,0
2023_5,2023,5,stroll,Aston Martin,18.0,12.0,0.0,Finished,0,Miami Grand Prix,Miami,STR,0,3,0.0,12.0,10.0,0,7,0.0,14.0,9,3,22,0
2023_5,2023,5,bottas,Alfa Romeo,10.0,13.0,0.0,Finished,0,Miami Grand Prix,Miami,BOT,0,3,0.0,13.0,12.333333333333334,0,6,0.0,0.6666666666666666,9,0,3,0
2023_5,2023,5,albon,Williams,11.0,14.0,0.0,Finished,0,Miami Grand Prix,Miami,ALB,0,3,0.0,14.0,16.0,0,6,0.0,0.0,9,11,0,0
2023_5,2023,5,hulkenberg,Haas F1 Team,12.0,15.0,0.0,Finished,0,Miami Grand Prix,Miami,HUL,0,3,0.0,15.0,11.333333333333334,0,7,0.0,2.3333333333333335,9,5,9,0
2023_5,2023,5,zhou,Alfa Romeo,14.0,16.0,0.0,Finished,0,Miami Grand Prix,Miami,ZHO,0,3,0.0,16.0,12.666666666666666,0,7,0.0,0.6666666666666666,9,0,24,0
2023_5,2023,5,norris,McLaren,16.0,17.0,0.0,Finished,0,Miami Grand Prix,Miami,NOR,0,3,0.0,17.0,13.333333333333334,0,6,0.0,4.0,9,7,14,0
2023_5,2023,5,de_vries,AlphaTauri,15.0,18.0,0.0,Finished,0,Miami Grand Prix,Miami,DEV,0,3,0.0,18.0,14.333333333333334,0,7,0.0,0.3333333333333333,9,1,5,0
2023_5,2023,5,piastri,McLaren,19.0,19.0,0.0,Lapped,0,Miami Grand Prix,Miami,PIA,0,3,0.0,19.0,14.333333333333334,0,7,0.0,4.0,9,7,17,0
2023_5,2023,5,sargeant,Williams,20.0,20.0,0.0,Lapped,0,Miami Grand Prix,Miami,SAR,0,3,0.0,20.0,14.666666666666666,0,7,0.0,0.0,9,11,21,0
2023_6,2023,6,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Monaco Grand Prix,Monaco,VER,3,4,0.75,1.0,1.3333333333333333,4,8,0.5,18.333333333333332,10,10,13,0
2023_6,2023,6,alonso,Aston Martin,2.0,2.0,18.0,Finished,0,Monaco Grand Prix,Monaco,ALO,0,4,0.0,2.0,3.0,0,8,0.0,9.0,10,3,1,0
2023_6,2023,6,ocon,Alpine,3.0,3.0,15.0,Finished,0,Monaco Grand Prix,Monaco,OCO,0,4,0.0,3.0,10.333333333333334,0,8,0.0,2.0,10,2,15,0
2023_6,2023,6,hamilton,Mercedes,5.0,4.0,13.0,Finished,0,Monaco Grand Prix,Monaco,HAM,0,4,0.0,4.0,4.333333333333333,0,8,0.0,6.666666666666667,10,8,8,0
2023_6,2023,6,russell,Mercedes,8.0,5.0,10.0,Finished,0,Monaco Grand Prix,Monaco,RUS,0,4,0.0,5.0,8.666666666666666,0,9,0.0,11.0,10,8,19,0
2023_6,2023,6,leclerc,Ferrari,6.0,6.0,8.0,Finished,0,Monaco Grand Prix,Monaco,LEC,0,4,0.0,6.0,11.333333333333334,0,8,0.0,5.333333333333333,10,4,12,0
2023_6,2023,6,gasly,Alpine,7.0,7.0,6.0,Finished,0,Monaco Grand Prix,Monaco,GAS,0,4,0.0,7.0,10.0,0,9,0.0,7.0,10,2,7,0
2023_6,2023,6,sainz,Ferrari,4.0,8.0,4.0,Finished,0,Monaco Grand Prix,Monaco,SAI,0,4,0.0,8.0,7.666666666666667,0,9,0.0,8.0,10,4,20,0
2023_6,2023,6,norris,McLaren,10.0,9.0,2.0,Lapped,0,Monaco Grand Prix,Monaco,NOR,0,4,0.0,9.0,13.333333333333334,0,8,0.0,1.3333333333333333,10,7,14,0
2023_6,2023,6,piastri,McLaren,11.0,10.0,1.0,Lapped,0,Monaco Grand Prix,Monaco,PIA,0,4,0.0,10.0,14.0,0,9,0.0,0.6666666666666666,10,7,17,0
2023_6,2023,6,bottas,Alfa Romeo,15.0,11.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,BOT,0,4,0.0,11.0,14.0,0,8,0.0,0.0,10,0,3,0
2023_6,2023,6,de_vries,AlphaTauri,12.0,12.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,DEV,0,4,0.0,12.0,15.666666666666666,0,8,0.0,0.0,10,1,5,0
2023_6,2023,6,zhou,Alfa Romeo,19.0,13.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,ZHO,0,4,0.0,13.0,12.666666666666666,0,9,0.0,0.0,10,0,24,0
2023_6,2023,6,albon,Williams,13.0,14.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,ALB,0,4,0.0,14.0,17.333333333333332,0,8,0.0,0.0,10,11,0,0
2023_6,2023,6,tsunoda,AlphaTauri,9.0,15.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,TSU,0,4,0.0,15.0,10.666666666666666,0,9,0.0,0.0,10,1,23,0
2023_6,2023,6,perez,Red Bull Racing,20.0,16.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,PER,1,4,0.25,16.0,2.6666666666666665,5,9,0.5555555555555556,23.0,10,10,16,0
2023_6,2023,6,hulkenberg,Haas F1 Team,18.0,17.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,HUL,0,4,0.0,17.0,11.333333333333334,0,8,0.0,0.3333333333333333,10,5,9,0
2023_6,2023,6,sargeant,Williams,16.0,18.0,0.0,Lapped,0,Monaco Grand Prix,Monaco,SAR,0,4,0.0,18.0,17.333333333333332,0,9,0.0,0.0,10,11,21,0
2023_6,2023,6,kevin_magnussen,Haas F1 Team,17.0,19.0,0.0,Retired,0,Monaco Grand Prix,Monaco,MAG,0,4,0.0,19.0,12.333333333333334,0,9,0.0,0.3333333333333333,10,5,10,0
2023_6,2023,6,stroll,Aston Martin,14.0,20.0,0.0,Retired,0,Monaco Grand Prix,Monaco,STR,0,4,0.0,20.0,12.0,0,9,0.0,11.0,10,3,22,0
2023_7,2023,7,max_verstappen,Red Bull Racing,1.0,1.0,26.0,Finished,1,Spanish Grand Prix,Barcelona,VER,4,5,0.8,1.0,1.0,5,10,0.5,14.333333333333334,1,10,13,0
2023_7,2023,7,hamilton,Mercedes,4.0,2.0,18.0,Finished,0,Spanish Grand Prix,Barcelona,HAM,0,5,0.0,2.0,4.0,0,10,0.0,10.333333333333334,1,8,8,0
2023_7,2023,7,russell,Mercedes,12.0,3.0,15.0,Finished,0,Spanish Grand Prix,Barcelona,RUS,0,5,0.0,3.0,9.0,0,11,0.0,13.666666666666666,1,8,19,0
2023_7,2023,7,perez,Red Bull Racing,11.0,4.0,12.0,Finished,0,Spanish Grand Prix,Barcelona,PER,1,5,0.2,4.0,7.666666666666667,6,11,0.5454545454545454,17.0,1,10,16,0
2023_7,2023,7,sainz,Ferrari,2.0,5.0,10.0,Finished,0,Spanish Grand Prix,Barcelona,SAI,0,5,0.0,5.0,8.333333333333334,0,10,0.0,6.0,1,4,20,0
2023_7,2023,7,stroll,Aston Martin,5.0,6.0,8.0,Finished,0,Spanish Grand Prix,Barcelona,STR,0,5,0.0,6.0,12.0,0,10,0.0,6.0,1,3,22,0
2023_7,2023,7,alonso,Aston Martin,8.0,7.0,6.0,Finished,0,Spanish Grand Prix,Barcelona,ALO,0,5,0.0,7.0,2.6666666666666665,0,11,0.0,8.666666666666666,1,3,1,0
2023_7,2023,7,ocon,Alpine,6.0,8.0,4.0,Finished,0,Spanish Grand Prix,Barcelona,OCO,0,5,0.0,8.0,8.666666666666666,0,10,0.0,7.666666666666667,1,2,15,0
2023_7,2023,7,zhou,Alfa Romeo,13.0,9.0,2.0,Finished,0,Spanish Grand Prix,Barcelona,ZHO,0,5,0.0,9.0,12.666666666666666,0,10,0.0,0.0,1,0,24,0
2023_7,2023,7,gasly,Alpine,10.0,10.0,1.0,Finished,0,Spanish Grand Prix,Barcelona,GAS,0,5,0.0,10.0,9.333333333333334,0,11,0.0,8.333333333333334,1,2,7,0
2023_7,2023,7,leclerc,Ferrari,19.0,11.0,0.0,Finished,0,Spanish Grand Prix,Barcelona,LEC,0,5,0.0,11.0,11.0,0,11,0.0,7.333333333333333,1,4,12,0
2023_7,2023,7,tsunoda,AlphaTauri,15.0,12.0,0.0,Finished,0,Spanish Grand Prix,Barcelona,TSU,0,5,0.0,12.0,12.0,0,10,0.0,0.0,1,1,23,0
2023_7,2023,7,piastri,McLaren,9.0,13.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,PIA,0,5,0.0,13.0,12.333333333333334,0,10,0.0,1.0,1,7,17,0
2023_7,2023,7,de_vries,AlphaTauri,14.0,14.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,DEV,0,5,0.0,14.0,15.0,0,11,0.0,0.0,1,1,5,0
2023_7,2023,7,hulkenberg,Haas F1 Team,7.0,15.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,HUL,0,5,0.0,15.0,13.0,0,10,0.0,0.0,1,5,9,0
2023_7,2023,7,albon,Williams,18.0,16.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,ALB,0,5,0.0,16.0,15.666666666666666,0,10,0.0,0.0,1,11,0,0
2023_7,2023,7,norris,McLaren,3.0,17.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,NOR,0,5,0.0,17.0,10.666666666666666,0,11,0.0,1.0,1,7,14,0
2023_7,2023,7,kevin_magnussen,Haas F1 Team,17.0,18.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,MAG,0,5,0.0,18.0,15.333333333333334,0,11,0.0,0.0,1,5,10,0
2023_7,2023,7,bottas,Alfa Romeo,16.0,19.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,BOT,0,5,0.0,19.0,11.666666666666666,0,11,0.0,0.6666666666666666,1,0,3,0
2023_7,2023,7,sargeant,Williams,20.0,20.0,0.0,Lapped,0,Spanish Grand Prix,Barcelona,SAR,0,5,0.0,20.0,18.0,0,11,0.0,0.0,1,11,21,0
2023_8,2023,8,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Canadian Grand Prix,Montréal,VER,5,6,0.8333333333333334,1.0,1.0,6,12,0.5,12.666666666666666,11,10,13,0
2023_8,2023,8,alonso,Aston Martin,2.0,2.0,18.0,Finished,0,Canadian Grand Prix,Montréal,ALO,0,6,0.0,2.0,4.0,0,12,0.0,4.666666666666667,11,3,1,0
2023_8,2023,8,hamilton,Mercedes,3.0,3.0,15.0,Finished,0,Canadian Grand Prix,Montréal,HAM,0,6,0.0,3.0,4.0,0,12,0.0,14.333333333333334,11,8,8,0
2023_8,2023,8,leclerc,Ferrari,10.0,4.0,12.0,Finished,0,Canadian Grand Prix,Montréal,LEC,0,6,0.0,4.0,8.0,0,12,0.0,4.666666666666667,11,4,12,0
2023_8,2023,8,sainz,Ferrari,11.0,5.0,10.0,Finished,0,Canadian Grand Prix,Montréal,SAI,0,6,0.0,5.0,6.0,0,13,0.0,7.333333333333333,11,4,20,0
2023_8,2023,8,perez,Red Bull Racing,12.0,6.0,9.0,Finished,0,Canadian Grand Prix,Montréal,PER,1,6,0.16666666666666666,6.0,7.333333333333333,7,13,0.5384615384615384,21.0,11,10,16,0
2023_8,2023,8,albon,Williams,9.0,7.0,6.0,Finished,0,Canadian Grand Prix,Montréal,ALB,0,6,0.0,7.0,14.666666666666666,0,12,0.0,0.0,11,11,0,0
2023_8,2023,8,ocon,Alpine,6.0,8.0,4.0,Finished,0,Canadian Grand Prix,Montréal,OCO,0,6,0.0,8.0,6.666666666666667,0,12,0.0,3.6666666666666665,11,2,15,0
2023_8,2023,8,stroll,Aston Martin,16.0,9.0,2.0,Finished,0,Canadian Grand Prix,Montréal,STR,0,6,0.0,9.0,12.666666666666666,0,13,0.0,10.666666666666666,11,3,22,0
2023_8,2023,8,bottas,Alfa Romeo,14.0,10.0,1.0,Finished,0,Canadian Grand Prix,Montréal,BOT,0,6,0.0,10.0,14.333333333333334,0,12,0.0,0.6666666666666666,11,0,3,0
2023_8,2023,8,piastri,McLaren,8.0,11.0,0.0,Finished,0,Canadian Grand Prix,Montréal,PIA,0,6,0.0,11.0,14.0,0,12,0.0,0.3333333333333333,11,7,17,0
2023_8,2023,8,gasly,Alpine,15.0,12.0,0.0,Finished,0,Canadian Grand Prix,Montréal,GAS,0,6,0.0,12.0,8.333333333333334,0,13,0.0,3.0,11,2,7,0
2023_8,2023,8,norris,McLaren,7.0,13.0,0.0,Finished,0,Canadian Grand Prix,Montréal,NOR,0,6,0.0,13.0,14.333333333333334,0,13,0.0,0.0,11,7,14,0
