raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation
2023_11,2023,11,hamilton,Mercedes,1.0,4.0,12.0,Finished,0,Hungarian Grand Prix,Budapest,HAM
2023_11,2023,11,piastri,McLaren,4.0,5.0,10.0,Finished,0,Hungarian Grand Prix,Budapest,PIA
2023_11,2023,11,russell,Mercedes,18.0,6.0,8.0,Finished,0,Hungarian Grand Prix,Budapest,RUS
2023_11,2023,11,leclerc,Ferrari,6.0,7.0,6.0,Finished,0,Hungarian Grand Prix,Budapest,LEC
2023_11,2023,11,sainz,Ferrari,11.0,8.0,4.0,Finished,0,Hungarian Grand Prix,Budapest,SAI
2023_11,2023,11,alonso,Aston Martin,8.0,9.0,2.0,Finished,0,Hungarian Grand Prix,Budapest,ALO
2023_11,2023,11,stroll,Aston Martin,14.0,10.0,1.0,Lapped,0,Hungarian Grand Prix,Budapest,STR
2023_11,2023,11,albon,Williams,16.0,11.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,ALB
2023_11,2023,11,bottas,Alfa Romeo,7.0,12.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,BOT
2023_11,2023,11,ricciardo,AlphaTauri,13.0,13.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,RIC
2023_11,2023,11,hulkenberg,Haas F1 Team,10.0,14.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,HUL
2023_11,2023,11,tsunoda,AlphaTauri,17.0,15.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,TSU
2023_11,2023,11,zhou,Alfa Romeo,5.0,16.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,ZHO
2023_11,2023,11,kevin_magnussen,Haas F1 Team,19.0,17.0,0.0,Lapped,0,Hungarian Grand Prix,Budapest,MAG
2023_11,2023,11,sargeant,Williams,20.0,18.0,0.0,Retired,0,Hungarian Grand Prix,Budapest,SAR
2023_11,2023,11,ocon,Alpine,12.0,19.0,0.0,Retired,0,Hungarian Grand Prix,Budapest,OCO
2023_11,2023,11,gasly,Alpine,15.0,20.0,0.0,Retired,0,Hungarian Grand Prix,Budapest,GAS
2023_13,2023,13,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Dutch Grand Prix,Zandvoort,VER
2023_13,2023,13,alonso,Aston Martin,5.0,2.0,19.0,Finished,0,Dutch Grand Prix,Zandvoort,ALO
2023_13,2023,13,gasly,Alpine,12.0,3.0,15.0,Finished,0,Dutch Grand Prix,Zandvoort,GAS
2023_13,2023,13,perez,Red Bull Racing,7.0,4.0,12.0,Finished,0,Dutch Grand Prix,Zandvoort,PER
2023_13,2023,13,sainz,Ferrari,6.0,5.0,10.0,Finished,0,Dutch Grand Prix,Zandvoort,SAI
2023_13,2023,13,hamilton,Mercedes,13.0,6.0,8.0,Finished,0,Dutch Grand Prix,Zandvoort,HAM
2023_13,2023,13,norris,McLaren,2.0,7.0,6.0,Finished,0,Dutch Grand Prix,Zandvoort,NOR
2023_13,2023,13,albon,Williams,4.0,8.0,4.0,Finished,0,Dutch Grand Prix,Zandvoort,ALB
2023_13,2023,13,piastri,McLaren,8.0,9.0,2.0,Finished,0,Dutch Grand Prix,Zandvoort,PIA
2023_13,2023,13,ocon,Alpine,16.0,10.0,1.0,Finished,0,Dutch Grand Prix,Zandvoort,OCO
2023_13,2023,13,stroll,Aston Martin,11.0,11.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,STR
2023_13,2023,13,hulkenberg,Haas F1 Team,14.0,12.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,HUL
2023_13,2023,13,lawson,AlphaTauri,19.0,13.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,LAW
2023_13,2023,13,bottas,Alfa Romeo,18.0,14.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,BOT
2023_13,2023,13,tsunoda,AlphaTauri,17.0,15.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,TSU
2023_13,2023,13,kevin_magnussen,Haas F1 Team,0.0,16.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,MAG
2023_13,2023,13,russell,Mercedes,3.0,17.0,0.0,Finished,0,Dutch Grand Prix,Zandvoort,RUS
2023_13,2023,13,zhou,Alfa Romeo,15.0,18.0,0.0,Accident,0,Dutch Grand Prix,Zandvoort,ZHO
2023_13,2023,13,leclerc,Ferrari,9.0,19.0,0.0,Undertray,0,Dutch Grand Prix,Zandvoort,LEC
2023_13,2023,13,sargeant,Williams,10.0,20.0,0.0,Accident,0,Dutch Grand Prix,Zandvoort,SAR
2023_14,2023,14,max_verstappen,Red Bull Racing,2.0,1.0,25.0,Finished,1,Italian Grand Prix,Monza,VER
2023_14,2023,14,perez,Red Bull Racing,5.0,2.0,18.0,Finished,0,Italian Grand Prix,Monza,PER
2023_14,2023,14,sainz,Ferrari,1.0,3.0,15.0,Finished,0,Italian Grand Prix,Monza,SAI
2023_14,2023,14,leclerc,Ferrari,3.0,4.0,12.0,Finished,0,Italian Grand Prix,Monza,LEC
2023_14,2023,14,russell,Mercedes,4.0,5.0,10.0,Finished,0,Italian Grand Prix,Monza,RUS
2023_14,2023,14,hamilton,Mercedes,8.0,6.0,8.0,Finished,0,Italian Grand Prix,Monza,HAM
2023_14,2023,14,albon,Williams,6.0,7.0,6.0,Finished,0,Italian Grand Prix,Monza,ALB
2023_14,2023,14,norris,McLaren,9.0,8.0,4.0,Finished,0,Italian Grand Prix,Monza,NOR
2023_14,2023,14,alonso,Aston Martin,10.0,9.0,2.0,Finished,0,Italian Grand Prix,Monza,ALO
2023_14,2023,14,bottas,Alfa Romeo,14.0,10.0,1.0,Finished,0,Italian Grand Prix,Monza,BOT
2023_14,2023,14,lawson,AlphaTauri,12.0,11.0,0.0,Finished,0,Italian Grand Prix,Monza,LAW
2023_14,2023,14,piastri,McLaren,7.0,12.0,0.0,Finished,0,Italian Grand Prix,Monza,PIA
2023_14,2023,14,sargeant,Williams,15.0,13.0,0.0,Finished,0,Italian Grand Prix,Monza,SAR
2023_14,2023,14,zhou,Alfa Romeo,16.0,14.0,0.0,Finished,0,Italian Grand Prix,Monza,ZHO
2023_14,2023,14,gasly,Alpine,17.0,15.0,0.0,Finished,0,Italian Grand Prix,Monza,GAS
2023_14,2023,14,stroll,Aston Martin,20.0,16.0,0.0,Finished,0,Italian Grand Prix,Monza,STR
2023_14,2023,14,hulkenberg,Haas F1 Team,13.0,17.0,0.0,Lapped,0,Italian Grand Prix,Monza,HUL
2023_14,2023,14,kevin_magnussen,Haas F1 Team,19.0,18.0,0.0,Lapped,0,Italian Grand Prix,Monza,MAG
2023_14,2023,14,ocon,Alpine,18.0,19.0,0.0,Retired,0,Italian Grand Prix,Monza,OCO
2023_14,2023,14,tsunoda,AlphaTauri,11.0,20.0,0.0,Did not start,0,Italian Grand Prix,Monza,TSU
2023_15,2023,15,sainz,Ferrari,1.0,1.0,25.0,Finished,1,Singapore Grand Prix,Marina Bay,SAI
2023_15,2023,15,norris,McLaren,4.0,2.0,18.0,Finished,0,Singapore Grand Prix,Marina Bay,NOR
2023_15,2023,15,hamilton,Mercedes,5.0,3.0,16.0,Finished,0,Singapore Grand Prix,Marina Bay,HAM
2023_15,2023,15,leclerc,Ferrari,3.0,4.0,12.0,Finished,0,Singapore Grand Prix,Marina Bay,LEC
2023_15,2023,15,max_verstappen,Red Bull Racing,11.0,5.0,10.0,Finished,0,Singapore Grand Prix,Marina Bay,VER
2023_15,2023,15,gasly,Alpine,12.0,6.0,8.0,Finished,0,Singapore Grand Prix,Marina Bay,GAS
2023_15,2023,15,piastri,McLaren,17.0,7.0,6.0,Finished,0,Singapore Grand Prix,Marina Bay,PIA
2023_15,2023,15,perez,Red Bull Racing,13.0,8.0,4.0,Finished,0,Singapore Grand Prix,Marina Bay,PER
2023_15,2023,15,lawson,AlphaTauri,10.0,9.0,2.0,Finished,0,Singapore Grand Prix,Marina Bay,LAW
